"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","20353.1064427559","23935.439005062","28749.6520899163","32261.7643203565","32936.9740462437","34198.8796385132","34293.2512640141","34632.5719960278","35423.7288135593","34687.0906097287","33885.1492347462","35317.4681108553","35267.3607322131","35010.8045196346","36911.0541203923","35025.9369542752","33132.4772187003","33081.8008830529","35077.2102971086","35043.9013441827","35130.7646784205","35626.1090617917","35547.0856297326","31776.2698636988","30540.2826820368","31473.8420232624","30884.1163223725","31990.4639150281","32072.8358784142","31761.2443814033","31548.7206884051","31834.2453260374","",
"Afghanistan","AFG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8287.68696323458","8595.40947825763","8335.98112921778","8920.07094070161","9099.37587304898","10076.0080741511","10211.6636747427","12081.5813596833","13433.5922157449","13079.7044518996","14272.8309691143","14580.729994572","14508.7173095321","14292.374732241","14227.6321680451","14247.5081466884","",
"Angola","AGO","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","46346.6483045351","42799.5358239784","41291.3971053612","41511.9353562721","42522.2750401489","42634.442908739","42617.5289595766","43182.2318777174","44651.8545983014","43487.2497486546","40799.5222893387","39950.1427219797","36414.2288994976","26781.7045269496","26282.4153125658","29318.8324732855","32352.8102742038","33770.7975444667","34407.9277186553","34176.6191454429","34168.4027028523","34468.5017727431","37864.8083656305","37645.7237119129","40302.560559293","44731.1155038629","48148.4873404031","52971.8411686501","56825.2991030432","55305.031501541","55958.5591853852","55870.6141899088","58522.5390394451","59290.6321592129","60021.1289701527","58545.7184205726","55146.4615613736","53270.5875879041","",
"Albania","ALB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","114985.065505758","119180.466427557","120128.952336746","118907.478539697","114974.617012902","114640.506124701","118784.365534781","115518.393704903","111749.580310815","119486.693567709","106118.635447019","75170.9696861001","70182.9859470274","77391.3303311859","84330.9160322042","96138.9513198165","105541.51424559","94606.2302570831","103609.966039245","117708.44389463","126694.106441619","138490.662187144","145212.945766899","153817.653855191","162972.699316574","172867.548521636","184225.373645048","196723.121100331","213106.353787931","221734.649680632","231105.512776813","237637.129293888","241409.93851425","244271.160760154","249110.001510048","255382.851402142","264360.499885027","274752.742996195","",
"Andorra","AND","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","24589.5246333828","24441.0814194609","25122.7205116763","25794.102436951","26054.7493224932","25185.0350105846","25139.405859584","25068.8413536358","24707.2946616475","23950.152220116","23631.4331660521","22698.288","22032.9166027509","21461.0884087406","20903.4538472346","20480.4125560538","20275.2348603736","20544.0181611805","20743.3953285482","20909.6915039658","20879.871213928","20594.6251169028","20003.4472218449","19120.7705302521","19043.604512022","19209.2310101801","19943.1152889994","21762.6502090879","22522.6949580618","23362.8724561131","23809.9097721364","24171.3072273949","24740.5387657211","26563.0892842502","27446.2252767431","28496.0756717005","29007.5440481041","28425.3111280432","25618.5831316106","24497.5255144325","23188.3148409099","22295.1367744863","22286.2757943007","22819.4781403179","23800.2852706916","24372.676699054","25068.6455920601","25643.0845189372","",
"Arab World","ARB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","376354.821728808","375769.199295765","394618.132457891","340890.122990348","369014.404016638","417497.285453345","406342.115621376","357165.540942125","322970.310120824","319275.578280411","291740.780143374","234423.502022119","228609.190833962","209832.153173387","222271.555309295","248286.402401066","236457.91964167","230710.701611539","220839.151129947","223773.789639307","227027.463553875","228775.188641084","235688.13808097","224871.691157429","219780.898525582","230755.114558983","221946.340203582","215601.483819719","219862.622303131","220506.438782846","206390.934984612","198045.427841722","177234.890050028","160337.474700034","136629.479130538","128676.660842078","131219.634533394","133592.52613322","138694.595083444","143764.096640376","149668.64759323","152223.955004805","151296.602339645","",
"Argentina","ARG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","8871.97943585927","9204.43672460474","8982.56803578741","8374.30215592641","9083.13635325157","9894.68360521608","9687.95276233341","9856.18311897191","10185.3389514765","11008.1023580387","11169.6823245515","11611.1468488072","11601.9064113741","11724.4884330037","12165.2872038248","11964.7232815911","11541.6316763821","12157.6269488459","11439.8942019715","12424.0870939633","12423.6955558958","11598.3996222256","11334.1393360719","11642.0645478871","11640.6992027535","10866.7352323064","11360.2809986259","11492.7971047778","11199.8406657741","10247.4270725335","9852.24549311292","10601.7066710835","11286.369738766","12049.4630677915","12587.6681555114","12076.9108474187","12591.4923939746","13455.4127342132","13816.3060064418","13200.5068125283","12951.6758707533","12243.8520316863","10789.6276264293","11614.3645554787","12525.9883575734","13489.5736259566","14422.7859831254","15560.145537338","16026.197947328","14923.5717175987","16265.4154099823","17062.766444889","16711.1754071972","16934.8466246708","16339.722925076","16617.3258020075","16154.6010587166","16456.7397455145","",
"Armenia","ARM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","737623.298519323","657437.234541589","389568.04634295","363707.037508752","392621.12842427","428363.363445204","460520.479703827","481149.694162356","520326.175502923","540919.048130143","576459.028135704","635468.67637332","723236.401662963","829182.309720731","921228.51746531","1055772.80492869","1204307.44768422","1381773.78577363","1489730.64819431","1287627.86055745","1321111.4485434","1384035.84622167","1480421.91981601","1523151.88807085","1571083.68587856","1615394.19740495","1614271.85584618","1732005.92528562","",
"American Samoa","ASM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12548.7391667092","12568.2967674273","12604.6166306695","12584.9994925403","12156.862745098","12555.4807177521","12414.5186743819","12058.26382343","12240.05607779","12346.3485177151","11823.2844468586","11481.3676388161","11562.674747912","11685.9030916326","11367.1109192611","10747.4703905394","",
"Antigua and Barbuda","ATG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","10696.8583995347","11097.3952113026","11960.7595896426","12952.0777473392","13515.3831769572","13619.221421032","14511.8066476883","16193.5349728202","17666.8939482461","19976.030713677","21602.3608415652","22995.2956163566","24359.637715428","25067.3038258953","25380.4770201995","25254.2314889665","26013.2504796873","27060.8310820799","25213.1613169664","26164.4391206041","26846.5639486118","27373.0916957491","27701.1737102007","28935.0124297787","27025.2837855442","26919.4173860083","28214.2789948107","29506.9270563316","31048.6400314088","34594.4639815727","37350.9930436342","36896.8036088634","32047.2763916475","29400.5584011892","28471.0701856326","29147.2694387812","28805.3591709574","29826.6981760503","30702.0250443056","32084.2547750725","32717.3127716142","",
"Australia","AUS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","23845.8179782819","23957.0733568635","23682.5544591324","24676.4383561644","25885.5556550551","26902.0021074816","26921.2084799588","28258.9202474786","29179.6152885336","30588.110576531","32142.4002558567","32318.2345211409","32971.0859831525","33319.5814648729","33819.5729796692","33856.8343770244","34386.5174944773","35224.4222096956","35129.4052096392","36157.0208074962","36802.7497958072","37432.4378642728","38038.6085123205","36731.8628407834","37982.1152856408","39432.9864195964","40365.0177296109","40751.7262157293","42367.9244141736","43267.9726900752","44151.9827015371","43423.8602175422","43090.0257216348","44394.0114337465","45674.2089050686","46853.8069942452","48035.8254601059","49385.5376140844","51110.3094436428","53065.3069850999","54504.046363494","54813.5785298511","56316.1912128398","57286.3576505122","58891.7098085197","59973.7678231706","60770.4163224288","62673.1836601433","63676.6560623459","63577.0363779695","63880.8083788169","64543.484823472","65868.8643166586","66429.0839228942","67090.1864173874","67669.5575290104","68548.0604964502","68787.2112176573","",
