HS2,details_description,broad_description
1,Live animals.,LIVE ANIMALS; ANIMAL PRODUCTS
2,Meat and edible meat offal.,LIVE ANIMALS; ANIMAL PRODUCTS
3,"Fish and crustaceans, molluscs and other aquatic invertebrates.",LIVE ANIMALS; ANIMAL PRODUCTS
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included.",LIVE ANIMALS; ANIMAL PRODUCTS
5,"Products of animal origin, not elsewhere specified or included.",LIVE ANIMALS; ANIMAL PRODUCTS
6,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage.",VEGETABLE PRODUCTS
7,Edible vegetables and certain roots and tubers.,VEGETABLE PRODUCTS
8,Edible fruit and nuts; peel of citrus fruit or melons.,VEGETABLE PRODUCTS
9,"Coffee, tea, maté and spices.",VEGETABLE PRODUCTS
10,Cereals.,VEGETABLE PRODUCTS
11,Products of the milling industry; malt; starches; inulin; wheat gluten.,VEGETABLE PRODUCTS
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder.",VEGETABLE PRODUCTS
13,"Lac; gums, resins and other vegetable saps and extracts.",VEGETABLE PRODUCTS
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included.,VEGETABLE PRODUCTS
15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes.,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES
16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates.","PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
17,Sugars and sugar confectionery.,"PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
18,Cocoa and cocoa preparations.,"PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products.","PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
20,"Preparations of vegetables, fruit, nuts or other parts of plants.","PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
21,Miscellaneous edible preparations.,"PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
22,"Beverages, spirits and vinegar.","PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
23,Residues and waste from the food industries; prepared animal fodder.,"PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
24,Tobacco and manufactured tobacco substitutes.,"PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES"
25,"Salt; sulphur; earths and stone; plastering materials, lime and cement.",MINERAL PRODUCTS
26,"Ores, slag and ash.",MINERAL PRODUCTS
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes.",MINERAL PRODUCTS
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes.",PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
29,Organic chemicals.,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
30,Pharmaceutical products.,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
31,Fertilisers.,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks.",PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations.",PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster.",PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
35,Albuminoidal substances; modified starches; glues; enzymes.,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations.,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
37,Photographic or cinematographic goods.,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
38,Miscellaneous chemical products.,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES
39,Plastics and articles .,PLASTICS AND ARTICLES ; RUBBER AND ARTICLES 
40,Rubber and articles .,PLASTICS AND ARTICLES ; RUBBER AND ARTICLES 
41,Raw hides and skins (other than furskins) and leather.,"RAW HIDES AND SKINS, LEATHER, FURSKINS AND ARTICLES ; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILK-WORM GUT)"
42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).","RAW HIDES AND SKINS, LEATHER, FURSKINS AND ARTICLES ; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILK-WORM GUT)"
43,Furskins and artificial fur; manufactures .,"RAW HIDES AND SKINS, LEATHER, FURSKINS AND ARTICLES ; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILK-WORM GUT)"
44,Wood and articles of wood; wood charcoal.,"WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK"
45,Cork and articles of cork.,"WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK"
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork.","WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK"
47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard.,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD; PAPER AND PAPERBOARD AND ARTICLES 
48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD; PAPER AND PAPERBOARD AND ARTICLES 
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans.",PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD; PAPER AND PAPERBOARD AND ARTICLES 
