year,origin,HS2,rank_export_between_country,rank_export_within_country,details_description,rank_pci,quartile_pci
2016,abw,71,98.0,1.0,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles ; imitation jewellery; coin.",48.0,3_Average world cpi
2016,abw,27,102.0,2.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes.",62.0,4_Common World cpi
2016,abw,22,87.0,3.0,"Beverages, spirits and vinegar.",60.0,4_Common World cpi
2016,abw,29,82.0,4.0,Organic chemicals.,3.0,1_Highest world cpi
2016,abw,72,107.0,5.0,Iron and steel.,21.0,2_Top world cpi
2016,abw,74,99.0,6.0,Copper and articles .,30.0,2_Top world cpi
2016,abw,24,95.0,7.0,Tobacco and manufactured tobacco substitutes.,85.0,6_Low world cpi
2016,abw,84,143.0,8.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts .",5.0,1_Highest world cpi
2016,abw,87,136.0,9.0,"Vehicles other than railway or tramway rolling-stock, and parts and accessories .",17.0,2_Top world cpi
2016,abw,90,154.0,10.0,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories .",2.0,1_Highest world cpi
2016,abw,85,153.0,11.0,"Electrical machinery and equipment and parts ; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",13.0,1_Highest world cpi
2016,abw,33,112.0,12.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations.",43.0,3_Average world cpi
2016,abw,91,98.0,13.0,Clocks and watches and parts .,8.0,1_Highest world cpi
2016,abw,30,167.0,14.0,Pharmaceutical products.,15.0,1_Highest world cpi
2016,abw,94,130.0,15.0,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",36.0,3_Average world cpi
2016,abw,76,130.0,16.0,Aluminium and articles .,33.0,3_Average world cpi
2016,abw,75,56.0,17.0,Nickel and articles .,6.0,1_Highest world cpi
2016,abw,82,108.0,18.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts  of base metal.",7.0,1_Highest world cpi
2016,abw,39,156.0,19.0,Plastics and articles .,9.0,1_Highest world cpi
2016,abw,25,141.0,20.0,"Salt; sulphur; earths and stone; plastering materials, lime and cement.",69.0,5_Bottom world cpi
2016,abw,21,133.0,21.0,Miscellaneous edible preparations.,49.0,4_Common World cpi
2016,abw,40,148.0,22.0,Rubber and articles .,29.0,2_Top world cpi
2016,abw,10,131.0,23.0,Cereals.,68.0,5_Bottom world cpi
2016,abw,15,134.0,24.0,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes.,70.0,5_Bottom world cpi
2016,abw,18,119.0,25.0,Cocoa and cocoa preparations.,84.0,6_Low world cpi
2016,abw,73,158.0,26.0,Articles of iron or steel.,25.0,2_Top world cpi
2016,abw,62,145.0,27.0,"Articles of apparel and clothing accessories, not knitted or crocheted.",90.0,6_Low world cpi
2016,abw,88,143.0,28.0,"Aircraft, spacecraft, and parts .",16.0,1_Highest world cpi
2016,abw,17,135.0,29.0,Sugars and sugar confectionery.,57.0,4_Common World cpi
2016,abw,42,123.0,30.0,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",78.0,5_Bottom world cpi
2016,abw,35,93.0,31.0,Albuminoidal substances; modified starches; glues; enzymes.,12.0,1_Highest world cpi
2016,abw,61,139.0,32.0,"Articles of apparel and clothing accessories, knitted or crocheted.",93.0,6_Low world cpi
2016,abw,64,140.0,33.0,"Footwear, gaiters and the like; parts of such articles.",80.0,5_Bottom world cpi
2016,abw,19,140.0,34.0,"Preparations of cereals, flour, starch or milk; pastrycooks' products.",63.0,4_Common World cpi
2016,abw,38,144.0,35.0,Miscellaneous chemical products.,14.0,1_Highest world cpi
2016,abw,20,159.0,36.0,"Preparations of vegetables, fruit, nuts or other parts of plants.",67.0,5_Bottom world cpi
2016,abw,48,153.0,37.0,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",26.0,2_Top world cpi
2016,abw,95,138.0,38.0,"Toys, games and sports requisites; parts and accessories .",37.0,3_Average world cpi
2016,abw,65,107.0,39.0,Headgear and parts .,86.0,6_Low world cpi
2016,abw,44,163.0,40.0,Wood and articles of wood; wood charcoal.,65.0,5_Bottom world cpi
2016,abw,83,138.0,41.0,Miscellaneous articles of base metal.,23.0,2_Top world cpi
2016,abw,63,159.0,42.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,83.0,6_Low world cpi
2016,abw,78,111.0,43.0,Lead and articles .,73.0,5_Bottom world cpi
2016,abw,68,139.0,44.0,"Articles of stone, plaster, cement, asbestos, mica or similar materials.",32.0,2_Top world cpi
2016,abw,89,145.0,45.0,"Ships, boats and floating structures.",41.0,3_Average world cpi
2016,abw,34,152.0,46.0,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster.",24.0,2_Top world cpi
2016,abw,49,158.0,47.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans.",27.0,2_Top world cpi
2016,abw,81,141.0,48.0,Other base metals; cermets; articles .,10.0,1_Highest world cpi
2016,abw,96,134.0,49.0,Miscellaneous manufactured articles.,39.0,3_Average world cpi
2016,abw,32,155.0,50.0,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks.",28.0,2_Top world cpi
