Year,Country,Country ID,ECI,ECI+
2013,Botswana,afbwa,-0.574288,-1.09578
2013,Cote d'Ivoire,afciv,-1.05279,-1.52292
2013,Cameroon,afcmr,-0.69924,-1.5123
2013,Republic of the Congo,afcog,-0.675039,-0.85404
2013,Algeria,afdza,-2.08154,-1.69993
2013,Egypt,afegy,-0.488663,-0.059151
2013,Ethiopia,afeth,-1.46341,-2.02886
2013,Ghana,afgha,-1.27263,-1.25159
2013,Kenya,afken,-0.616658,-0.792132
2013,Morocco,afmar,-0.774475,-0.594326
2013,Madagascar,afmdg,-0.823322,-0.639101
2013,Mozambique,afmoz,-1.22607,-1.44638
2013,Namibia,afnam,-0.328879,-0.425254
2013,Nigeria,afnga,-1.73702,-1.74281
2013,Sudan,afsdn,-1.873,-3.20108
2013,Senegal,afsen,-0.744196,-1.28391
2013,Togo,aftgo,-0.671987,-1.14251
2013,Tunisia,aftun,0.16411,0.245596
2013,Tanzania,aftza,-0.919298,-0.904776
2013,South Africa,afzaf,-0.192079,0.249101
2013,Zambia,afzmb,-0.731336,-0.743054
2013,Zimbabwe,afzwe,-1.04674,-2.08561
2013,United Arab Emirates,asare,-0.090032,0.776872
2013,Azerbaijan,asaze,-1.44358,-0.519568
2013,Bangladesh,asbgd,-1.17559,-0.780446
2013,China,aschn,1.04036,1.46234
2013,Georgia,asgeo,-0.419841,-0.336523
2013,Hong Kong,ashkg,1.26313,1.41668
2013,Indonesia,asidn,-0.160233,0.437969
2013,India,asind,-0.134587,0.718199
2013,Iran,asirn,-0.934617,-0.192095
2013,Israel,asisr,1.22703,0.903089
2013,Jordan,asjor,-0.140418,-0.420488
2013,Japan,asjpn,2.37352,1.74701
2013,Kazakhstan,askaz,-0.961147,-0.363322
2013,Cambodia,askhm,-0.904026,-1.07319
2013,South Korea,askor,1.82762,1.45373
2013,Kuwait,askwt,-1.49314,-0.613362
2013,Lebanon,aslbn,0.107992,0.024768
2013,Sri Lanka,aslka,-0.530163,-0.434846
2013,Mongolia,asmng,-1.67769,-3.21446
2013,Malaysia,asmys,0.810485,0.84428
2013,Oman,asomn,-0.874505,-0.589497
2013,Pakistan,aspak,-1.03613,-0.129927
2013,Philippines,asphl,0.341858,0.664346
2013,Qatar,asqat,-0.41667,-0.727806
2013,Saudi Arabia,assau,-0.462099,0.314889
2013,Singapore,assgp,1.71717,1.31983
2013,Thailand,astha,0.87724,0.964175
2013,Turkey,astur,0.287393,0.583639
