Year,Product,Hs02 ID,PCI
2011,"Live horses, asses, mules and hinnies.",010101,0.443
2012,"Live horses, asses, mules and hinnies.",010101,-0.327
2013,"Live horses, asses, mules and hinnies.",010101,-0.102
2014,"Live horses, asses, mules and hinnies.",010101,0.217
2015,"Live horses, asses, mules and hinnies.",010101,-0.339
2016,"Live horses, asses, mules and hinnies.",010101,-0.572
2017,"Live horses, asses, mules and hinnies.",010101,-0.479
2011,Live horses/asses/mules/hinnies: pure-bred breeding animals,01010110,0.354
2012,Live horses/asses/mules/hinnies: pure-bred breeding animals,01010110,-0.141
2013,Live horses/asses/mules/hinnies: pure-bred breeding animals,01010110,0.425
2014,Live horses/asses/mules/hinnies: pure-bred breeding animals,01010110,0.988
2015,Live horses/asses/mules/hinnies: pure-bred breeding animals,01010110,0.462
2016,Live horses/asses/mules/hinnies: pure-bred breeding animals,01010110,-0.423
2017,Live horses/asses/mules/hinnies: pure-bred breeding animals,01010110,0.007
2011,Live horses/asses/mules/hinnies other than pure-bred breeding animals,01010190,0.612
2012,Live horses/asses/mules/hinnies other than pure-bred breeding animals,01010190,0.296
2013,Live horses/asses/mules/hinnies other than pure-bred breeding animals,01010190,0.508
2014,Live horses/asses/mules/hinnies other than pure-bred breeding animals,01010190,0.592
2015,Live horses/asses/mules/hinnies other than pure-bred breeding animals,01010190,0.152
2016,Live horses/asses/mules/hinnies other than pure-bred breeding animals,01010190,-0.08
2017,Live horses/asses/mules/hinnies other than pure-bred breeding animals,01010190,0.309
2011,Live bovine animals.,010102,-0.569
2012,Live bovine animals.,010102,-0.625
2013,Live bovine animals.,010102,-0.442
2014,Live bovine animals.,010102,-0.671
2015,Live bovine animals.,010102,-0.798
2016,Live bovine animals.,010102,-0.654
2017,Live bovine animals.,010102,-0.587
2011,Live bovine animals: pure-bred breeding animals,01010210,0.02
2012,Live bovine animals: pure-bred breeding animals,01010210,-0.015
2013,Live bovine animals: pure-bred breeding animals,01010210,0.141
2014,Live bovine animals: pure-bred breeding animals,01010210,0.272
2015,Live bovine animals: pure-bred breeding animals,01010210,-0.05
2016,Live bovine animals: pure-bred breeding animals,01010210,-0.175
2017,Live bovine animals: pure-bred breeding animals,01010210,-0.093
2011,Live bovine animals other than pure-bred breeding animals,01010290,-0.641
2012,Live bovine animals other than pure-bred breeding animals,01010290,-0.637
2013,Live bovine animals other than pure-bred breeding animals,01010290,-0.532
2014,Live bovine animals other than pure-bred breeding animals,01010290,-0.773
2015,Live bovine animals other than pure-bred breeding animals,01010290,-0.892
2016,Live bovine animals other than pure-bred breeding animals,01010290,-0.838
2017,Live bovine animals other than pure-bred breeding animals,01010290,-0.65
2011,Live swine.,010103,0.708
2012,Live swine.,010103,0.713
2013,Live swine.,010103,0.695
2014,Live swine.,010103,0.664
2015,Live swine.,010103,0.755
2016,Live swine.,010103,0.667
2017,Live swine.,010103,0.528
2011,Live swine: pure-bred breeding animals,01010310,0.695
2012,Live swine: pure-bred breeding animals,01010310,0.428
2013,Live swine: pure-bred breeding animals,01010310,0.475
2014,Live swine: pure-bred breeding animals,01010310,0.493
2015,Live swine: pure-bred breeding animals,01010310,0.274
2016,Live swine: pure-bred breeding animals,01010310,0.112
2017,Live swine: pure-bred breeding animals,01010310,-0.195
2011,"Live swine other than pure-bred breeding animals, weighing < 50kg",01010391,0.594
2012,"Live swine other than pure-bred breeding animals, weighing < 50kg",01010391,1.215
2013,"Live swine other than pure-bred breeding animals, weighing < 50kg",01010391,0.827
2014,"Live swine other than pure-bred breeding animals, weighing < 50kg",01010391,0.902
2015,"Live swine other than pure-bred breeding animals, weighing < 50kg",01010391,1.142
2016,"Live swine other than pure-bred breeding animals, weighing < 50kg",01010391,0.223
2017,"Live swine other than pure-bred breeding animals, weighing < 50kg",01010391,0.759
2011,"Live swine other than pure-bred breeding animals, weighing 50kg/more",01010392,0.529
2012,"Live swine other than pure-bred breeding animals, weighing 50kg/more",01010392,0.685
2013,"Live swine other than pure-bred breeding animals, weighing 50kg/more",01010392,0.504
2014,"Live swine other than pure-bred breeding animals, weighing 50kg/more",01010392,0.563
2015,"Live swine other than pure-bred breeding animals, weighing 50kg/more",01010392,0.567
2016,"Live swine other than pure-bred breeding animals, weighing 50kg/more",01010392,0.494
2017,"Live swine other than pure-bred breeding animals, weighing 50kg/more",01010392,0.242
2011,Live sheep and goats.,010104,-1.692
2012,Live sheep and goats.,010104,-1.437
2013,Live sheep and goats.,010104,-1.364
2014,Live sheep and goats.,010104,-1.422
2015,Live sheep and goats.,010104,-1.528
2016,Live sheep and goats.,010104,-1.467
2017,Live sheep and goats.,010104,-1.379
2011,Live sheep,01010410,-1.302
2012,Live sheep,01010410,-1.388
2013,Live sheep,01010410,-1.38
2014,Live sheep,01010410,-1.138
2015,Live sheep,01010410,-1.581
2016,Live sheep,01010410,-1.618
2017,Live sheep,01010410,-1.366
2011,Live goats,01010420,-1.863
2012,Live goats,01010420,-2.266
2013,Live goats,01010420,-1.71
2014,Live goats,01010420,-1.587
2015,Live goats,01010420,-1.967
2016,Live goats,01010420,-1.983
2017,Live goats,01010420,-1.799
2011,Live poultry,010105,0.166
2012,Live poultry,010105,0.419
2013,Live poultry,010105,0.348
2014,Live poultry,010105,-0.037
2015,Live poultry,010105,-0.091
2016,Live poultry,010105,-0.146
2017,Live poultry,010105,-0.063
2011,"Live fowls of species Gallus domesticus, weighing not >185g",01010511,-0.357
2012,"Live fowls of species Gallus domesticus, weighing not >185g",01010511,-0.469
2013,"Live fowls of species Gallus domesticus, weighing not >185g",01010511,-0.375
2014,"Live fowls of species Gallus domesticus, weighing not >185g",01010511,-0.471
2015,"Live fowls of species Gallus domesticus, weighing not >185g",01010511,-0.557
2016,"Live fowls of species Gallus domesticus, weighing not >185g",01010511,-0.48
2017,"Live fowls of species Gallus domesticus, weighing not >185g",01010511,-0.429
2011,"Live turkeys, weighing not >185g",01010512,1.158
2012,"Live turkeys, weighing not >185g",01010512,0.854
2013,"Live turkeys, weighing not >185g",01010512,1.193
